gen,pokedex_no,img_link,name,variant,type,total,hp,attack,defense,sp_attack,sp_defense,speed,species,height_m,weight_kg
1,1,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,Bulbasaur,NA,"Grass,Poison",318,45,49,49,65,65,45,Seed Pokémon,0.7,6.9
1,2,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,Ivysaur,NA,"Grass,Poison",405,60,62,63,80,80,60,Seed Pokémon,1,13
1,3,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,Venusaur,NA,"Grass,Poison",525,80,82,83,100,100,80,Seed Pokémon,2,100
1,3,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,Venusaur,Mega,"Grass,Poison",625,80,100,123,122,120,80,Seed Pokémon,2,100
1,4,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,Charmander,NA,Fire,309,39,52,43,60,50,65,Lizard Pokémon,0.6,8.5
1,5,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,Charmeleon,NA,Fire,405,58,64,58,80,65,80,Flame Pokémon,1.1,19
1,6,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,Charizard,NA,"Fire,Flying",534,78,84,78,109,85,100,Flame Pokémon,1.7,90.5
1,6,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,Charizard,Mega  X,"Fire,Dragon",634,78,130,111,130,85,100,Flame Pokémon,1.7,90.5
1,6,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,Charizard,Mega  Y,"Fire,Flying",634,78,104,78,159,115,100,Flame Pokémon,1.7,90.5
1,7,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,Squirtle,NA,Water,314,44,48,65,50,64,43,Tiny Turtle Pokémon,0.5,9
1,8,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,Wartortle,NA,Water,405,59,63,80,65,80,58,Turtle Pokémon,1,22.5
1,9,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,Blastoise,NA,Water,530,79,83,100,85,105,78,Shellfish Pokémon,1.6,85.5
1,9,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,Blastoise,Mega,Water,630,79,103,120,135,115,78,Shellfish Pokémon,1.6,85.5
1,10,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,Caterpie,NA,Bug,195,45,30,35,20,20,45,Worm Pokémon,0.3,2.9
1,11,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,Metapod,NA,Bug,205,50,20,55,25,25,30,Cocoon Pokémon,0.7,9.9
1,12,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Butterfree,NA,"Bug,Flying",395,60,45,50,90,80,70,Butterfly Pokémon,1.1,32
1,13,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,Weedle,NA,"Bug,Poison",195,40,35,30,20,20,50,Hairy Bug Pokémon,0.3,3.2
1,14,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,Kakuna,NA,"Bug,Poison",205,45,25,50,25,25,35,Cocoon Pokémon,0.6,10
1,15,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,Beedrill,NA,"Bug,Poison",395,65,90,40,45,80,75,Poison Bee Pokémon,1,29.5
1,15,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,Beedrill,Mega,"Bug,Poison",495,65,150,40,15,80,145,Poison Bee Pokémon,1,29.5
1,16,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,Pidgey,NA,"Normal,Flying",251,40,45,40,35,35,56,Tiny Bird Pokémon,0.3,1.8
1,17,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,Pidgeotto,NA,"Normal,Flying",349,63,60,55,50,50,71,Bird Pokémon,1.1,30
1,18,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,Pidgeot,NA,"Normal,Flying",479,83,80,75,70,70,101,Bird Pokémon,1.5,39.5
1,18,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,Pidgeot,Mega,"Normal,Flying",579,83,80,80,135,80,121,Bird Pokémon,1.5,39.5
1,19,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,Rattata,NA,Normal,253,30,56,35,25,35,72,Mouse Pokémon,0.3,3.5
1,19,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,Rattata,NA,Normal,253,30,56,35,25,35,72,Mouse Pokémon,0.3,3.5
1,19,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,Rattata,Alolan,"Dark,Normal",253,30,56,35,25,35,72,Mouse Pokémon,0.3,3.5
