id,Start,End,Type,Quantity (oz),Quantity (ml or g)
538,22:41:57 09-05-2021,23:00:46 09-05-2021,Breast,NA,NA
537,22:32:29 09-05-2021,22:41:52 09-05-2021,Breast,NA,NA
536,20:57:20 09-05-2021,21:08:05 09-05-2021,Breast,NA,NA
535,20:42:37 09-05-2021,20:57:13 09-05-2021,Breast,NA,NA
534,20:06:37 09-05-2021,20:14:13 09-05-2021,Breast,NA,NA
533,19:51:41 09-05-2021,19:59:05 09-05-2021,Breast,NA,NA
532,17:32:17 09-05-2021,17:38:10 09-05-2021,Breast,NA,NA
531,17:00:30 09-05-2021,17:09:46 09-05-2021,Breast,NA,NA
530,16:30:48 09-05-2021,16:49:50 09-05-2021,Breast,NA,NA
529,14:02:48 09-05-2021,14:14:13 09-05-2021,Breast,NA,NA
528,12:18:33 09-05-2021,12:22:34 09-05-2021,Breast,NA,NA
527,10:45:40 09-05-2021,11:01:10 09-05-2021,Breast,NA,NA
526,10:18:09 09-05-2021,10:23:42 09-05-2021,Breast,NA,NA
525,09:06:30 09-05-2021,09:16:49 09-05-2021,Breast,NA,NA
524,08:46:37 09-05-2021,09:06:29 09-05-2021,Breast,NA,NA
522,05:15:41 09-05-2021,05:33:41 09-05-2021,Breast,NA,NA
523,03:05:07 09-05-2021,03:15:07 09-05-2021,Breast,NA,NA
521,01:55:35 09-05-2021,02:25:10 09-05-2021,Breast,NA,NA
520,01:04:58 09-05-2021,01:25:44 09-05-2021,Breast,NA,NA
519,21:17:40 09-04-2021,21:46:00 09-04-2021,Breast,NA,NA
518,19:10:21 09-04-2021,19:22:27 09-04-2021,Breast,NA,NA
517,17:35:12 09-04-2021,17:55:03 09-04-2021,Breast,NA,NA
516,15:11:21 09-04-2021,15:25:15 09-04-2021,Breast,NA,NA
515,14:25:30 09-04-2021,15:00:08 09-04-2021,Breast,NA,NA
514,11:02:59 09-04-2021,11:18:16 09-04-2021,Breast,NA,NA
513,10:32:16 09-04-2021,10:46:51 09-04-2021,Breast,NA,NA
512,10:03:53 09-04-2021,10:12:53 09-04-2021,Breast,NA,NA
511,08:08:58 09-04-2021,08:25:39 09-04-2021,Breast,NA,NA
510,05:40:02 09-04-2021,05:53:10 09-04-2021,Breast,NA,NA
509,02:52:33 09-04-2021,03:15:51 09-04-2021,Breast,NA,NA
508,00:24:43 09-04-2021,00:45:08 09-04-2021,Breast,NA,NA
507,22:27:52 09-03-2021,22:50:41 09-03-2021,Breast,NA,NA
506,20:26:48 09-03-2021,20:35:26 09-03-2021,Breast,NA,NA
505,19:59:40 09-03-2021,20:05:00 09-03-2021,Breast,NA,NA
504,18:40:39 09-03-2021,18:52:07 09-03-2021,Breast,NA,NA
503,17:45:26 09-03-2021,17:53:52 09-03-2021,Breast,NA,NA
502,16:47:28 09-03-2021,17:00:18 09-03-2021,Breast,NA,NA
501,15:19:30 09-03-2021,15:44:07 09-03-2021,Breast,NA,NA
500,13:30:06 09-03-2021,13:40:06 09-03-2021,Bottle,1.5,44
499,12:18:31 09-03-2021,12:30:51 09-03-2021,Breast,NA,NA
498,11:13:05 09-03-2021,11:29:25 09-03-2021,Breast,NA,NA
497,09:53:36 09-03-2021,10:01:43 09-03-2021,Breast,NA,NA
496,07:27:03 09-03-2021,07:36:54 09-03-2021,Breast,NA,NA
495,04:51:03 09-03-2021,05:05:10 09-03-2021,Breast,NA,NA
494,01:45:23 09-03-2021,02:03:24 09-03-2021,Breast,NA,NA
493,01:24:36 09-03-2021,01:37:13 09-03-2021,Breast,NA,NA
492,22:02:43 09-02-2021,22:17:46 09-02-2021,Breast,NA,NA
491,22:01:20 09-02-2021,22:02:37 09-02-2021,Breast,NA,NA
490,20:15:09 09-02-2021,20:40:46 09-02-2021,Breast,NA,NA
489,18:15:57 09-02-2021,18:20:22 09-02-2021,Breast,NA,NA
488,16:20:50 09-02-2021,16:29:50 09-02-2021,Breast,NA,NA
487,15:30:25 09-02-2021,15:35:25 09-02-2021,Breast,NA,NA
486,14:36:38 09-02-2021,15:12:31 09-02-2021,Breast,NA,NA
484,13:28:17 09-02-2021,13:36:03 09-02-2021,Bottle,1.25,36
485,11:03:30 09-02-2021,11:11:17 09-02-2021,Breast,NA,NA
483,10:43:21 09-02-2021,10:52:16 09-02-2021,Breast,NA,NA
482,09:59:31 09-02-2021,10:08:06 09-02-2021,Breast,NA,NA
481,07:33:46 09-02-2021,07:42:46 09-02-2021,Breast,NA,NA
480,07:09:02 09-02-2021,07:18:02 09-02-2021,Breast,NA,NA
479,05:28:05 09-02-2021,05:51:58 09-02-2021,Breast,NA,NA
478,05:18:01 09-02-2021,05:27:01 09-02-2021,Breast,NA,NA
477,03:34:00 09-02-2021,03:55:46 09-02-2021,Breast,NA,NA
476,22:32:19 09-01-2021,22:51:19 09-01-2021,Breast,NA,NA
475,21:54:44 09-01-2021,22:01:57 09-01-2021,Breast,NA,NA
474,20:50:35 09-01-2021,21:10:59 09-01-2021,Breast,NA,NA
473,20:23:39 09-01-2021,20:40:16 09-01-2021,Breast,NA,NA
472,19:00:19 09-01-2021,19:17:02 09-01-2021,Breast,NA,NA
471,17:19:54 09-01-2021,17:28:43 09-01-2021,Breast,NA,NA
470,16:30:13 09-01-2021,16:39:34 09-01-2021,Breast,NA,NA
469,13:49:13 09-01-2021,14:15:57 09-01-2021,Breast,NA,NA
468,11:57:17 09-01-2021,12:13:03 09-01-2021,Breast,NA,NA
467,11:44:32 09-01-2021,11:55:48 09-01-2021,Breast,NA,NA
466,10:51:25 09-01-2021,11:11:35 09-01-2021,Breast,NA,NA
465,08:40:26 09-01-2021,08:43:33 09-01-2021,Breast,NA,NA
464,07:36:21 09-01-2021,07:42:41 09-01-2021,Breast,NA,NA
463,06:52:51 09-01-2021,07:02:51 09-01-2021,Breast,NA,NA
462,03:50:26 09-01-2021,04:28:26 09-01-2021,Breast,NA,NA
461,01:15:59 09-01-2021,01:40:59 09-01-2021,Breast,NA,NA
460,22:00:06 08-31-2021,22:10:06 08-31-2021,Bottle,1,29
459,21:24:55 08-31-2021,21:33:09 08-31-2021,Breast,NA,NA
458,21:18:53 08-31-2021,21:24:54 08-31-2021,Breast,NA,NA
457,19:04:39 08-31-2021,19:22:52 08-31-2021,Breast,NA,NA
456,16:03:01 08-31-2021,16:22:18 08-31-2021,Breast,NA,NA
454,15:11:41 08-31-2021,15:21:10 08-31-2021,Breast,NA,NA
453,11:57:31 08-31-2021,12:10:35 08-31-2021,Bottle,1.75,51
452,11:02:43 08-31-2021,11:17:34 08-31-2021,Breast,NA,NA
451,10:39:19 08-31-2021,10:53:30 08-31-2021,Breast,NA,NA
449,09:43:27 08-31-2021,09:50:43 08-31-2021,Breast,NA,NA
448,09:23:54 08-31-2021,09:30:10 08-31-2021,Breast,NA,NA
455,05:09:30 08-31-2021,05:20:30 08-31-2021,Breast,NA,NA
450,04:00:28 08-31-2021,05:30:28 08-31-2021,Breast,NA,NA
447,03:59:07 08-31-2021,04:15:46 08-31-2021,Breast,NA,NA
446,03:00:19 08-31-2021,03:15:33 08-31-2021,Breast,NA,NA
445,23:06:04 08-30-2021,23:15:04 08-30-2021,Breast,NA,NA
444,22:26:54 08-30-2021,22:38:13 08-30-2021,Breast,NA,NA
443,21:58:50 08-30-2021,22:14:46 08-30-2021,Breast,NA,NA
442,20:21:19 08-30-2021,20:28:36 08-30-2021,Breast,NA,NA
441,20:01:42 08-30-2021,20:11:59 08-30-2021,Breast,NA,NA
440,17:35:47 08-30-2021,17:45:25 08-30-2021,Breast,NA,NA
439,15:41:19 08-30-2021,15:57:58 08-30-2021,Breast,NA,NA
